Front,Back,Tags
"[C01] Qual ponto-chave devo lembrar sobre: Equação alveolar, shunt, espaço morto e mecânica respiratória?","Revise no complexo C01 — Fisiologia, Fisiopatologia, Epidemiologia e Método Científico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c01
"[C01] Qual ponto-chave devo lembrar sobre: Determinantes de débito cardíaco, pré-carga, pós-carga, contratilidade e acoplamento VD-VE?","Revise no complexo C01 — Fisiologia, Fisiopatologia, Epidemiologia e Método Científico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c01
"[C01] Qual ponto-chave devo lembrar sobre: DO₂, VO₂, ScvO₂/SvO₂, lactato e microcirculação?","Revise no complexo C01 — Fisiologia, Fisiopatologia, Epidemiologia e Método Científico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c01
"[C01] Qual ponto-chave devo lembrar sobre: Pressão osmótica, tonicidade, sódio, água livre e potássio?","Revise no complexo C01 — Fisiologia, Fisiopatologia, Epidemiologia e Método Científico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c01
"[C01] Qual ponto-chave devo lembrar sobre: NNT/NNH, RR/OR/HR, intervalo de confiança, viés, validade externa?","Revise no complexo C01 — Fisiologia, Fisiopatologia, Epidemiologia e Método Científico. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c01
"[C01] Qual variável muda primeiro no choque séptico: PAM, lactato, diurese ou perfusão periférica?",Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C01 no vault.,temi c01 active_recall
[C01] Quando um IC 95% estatisticamente significativo ainda pode ser clinicamente irrelevante?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C01 no vault.,temi c01 active_recall
[C01] Como calcular déficit de água livre de forma segura?,Responder com: 1) ameaça imediata; 2) fisiologia; 3) conduta inicial; 4) reavaliação; 5) pegadinha. Ver nota C01 no vault.,temi c01 active_recall
"[C02] Qual ponto-chave devo lembrar sobre: Indicações de IOT, VMNI, CNAF e contraindicações?","Revise no complexo C02 — Via Aérea, Ventilação Mecânica, SRAG/ARDS e Desmame. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c02
"[C02] Qual ponto-chave devo lembrar sobre: Pré-oxigenação, plano A/B/C/D e drogas de indução?","Revise no complexo C02 — Via Aérea, Ventilação Mecânica, SRAG/ARDS e Desmame. Transforme em conduta prática: definição, indicação, contraindicação/armadilha e reavaliação.",temi c02
