Tema,Tag,Peso,Prioridade,Descricao
"Fisiologia e fisiopatologia do doente critico","Fisiologia","5","Base transversal","Fisiologia cardio-respiratória-renal-neuro, inflamação, disfunção orgânica."
"Monitorizacao hemodinamica e perfusao","Hemodinamica","5","Alta prova pratica","Choque, lactato, vasopressores, fluidos, eco hemodinâmico."
"Ventilacao mecanica e insuficiencia respiratoria","VM","5","Alta recorrencia","Indicações, ajustes, assincronias, SARA, desmame, VNI, oxigênio."
"Sepse, choque septico e infeccoes graves","Sepse","5","Alta recorrencia","Diagnóstico, pacote inicial, foco, antimicrobianos, IRAS, MDR."
"Antimicrobianos e stewardship","Antimicrobianos","4","Decisão fina","PK/PD, escalonamento/descalonamento, culturas, doses em TRS."
"Rim, IRA e terapias de substituicao renal","Nefrointensivismo","4","Tema integrador","IRA, distúrbios hidro-eletrolíticos, acidose/alcalose, TRS."
"Cardiointensivismo","Cardio","4","Urgencia e OSCE","SCA, arritmias, choque cardiogênico, TEP, suporte circulatório."
"Neurointensivismo","Neuro","4","Alta decisao","AVC, HSA, HIC, status, coma, morte encefálica, doador."
"Sedacao, analgesia, delirium, mobilizacao e sono","SADMS","4","Pratica diaria","Escalas, analgesia, sedação, delirium, bloqueio neuromuscular, mobilização."
"Cuidados paliativos, comunicacao e etica","Paliativos_Etica","5","Muito pratico","Más notícias, decisão compartilhada, adequação de suporte, ética."
"USG a beira leito e ecografia em UTI","USG","4","Diferencial pratico","Pulmão, coração, vascular, abdome, protocolos RUSH/BLUE/FAST."
"ECG e emergencias cardiovasculares","ECG","4","Imagem e decisão","IAM, bloqueios, arritmias, QT, distúrbios eletrolíticos."
"Nutrição no paciente grave","Nutricao","3","Diretriz aplicada","Enteral/parenteral, refeeding, proteína, glicemia, obesidade."
"Hematologia, coagulopatia, trauma e hemorragia","Hemato_Trauma","3","Protocolos","Coagulopatias, anticoagulação, reversão, transfusão, trauma."
"Insuficiencia hepatica e gastrointensivismo","Hepato_Gastro","3","Integração","Falência hepática, sangramento digestivo, pancreatite, intoxicações."
"Endocrino-metabolico e disturbios eletroliticos","Endocrino_Eletrolitos","3","Questões frequentes","DKA/HHS, adrenal, tireoide, Na/K/Ca/Mg/P, ácido-base."
"Perioperatorio e paciente cirurgico critico","Perioperatorio","3","Cenarios clinicos","Pós-operatório, complicações, sepse cirúrgica, risco e suporte."
"Gestao, qualidade, seguranca e indicadores UTI","Gestao_Qualidade","4","Final de prova","Indicadores, protocolos, eventos adversos, ANVISA, UTI segura."
"Metodologia cientifica, epidemiologia e leitura critica","Metodologia","3","Base para atualização","PICO, viés, NNT, RCT, metanálise, guideline, PubMed."
"Documentos, normativas, AMIB-CFM-ANVISA-CNRM","Normativas","4","Obrigatorio","Ética, admissão/alta, morte encefálica, funcionamento UTI, inscrição."
