Front;Back;Tags
Qual é a arquitetura de resposta Nível 5 no OSCE TEMI?;Reconhecimento da gravidade → ABCDE/segurança → ações imediatas → hipóteses prioritárias → exames sem atrasar conduta → tratamento específico → reavaliação por metas → comunicação/equipe → plano B.;temi::osce
Como abordar choque indiferenciado em prova prática?;Reconhecer instabilidade, chamar ajuda, monitorizar, ABCDE, acessos, O2/ventilação, perfusão, fluidos se indicado, vasopressor se hipotensão persistente, POCUS/labs para fenótipo, tratar causa e reavaliar.;temi::choque::osce
Qual vasopressor de primeira linha no choque séptico?;Noradrenalina, com alvo inicial usual de PAM ≥65 mmHg e individualização conforme paciente.;temi::sepse::choque
Qual é o alvo clássico de pressão de platô na ventilação protetora em ARDS?;Pressão de platô <30 cmH2O, associada a Vt baixo por peso predito e reavaliação da driving pressure.;temi::vmi::ards
Quais componentes do DOPES na hipoxemia súbita do ventilado?;Displacement, Obstruction, Pneumothorax, Equipment, Stacking/auto-PEEP ou assincronia.;temi::vmi::emergencia
Quais são indicações clássicas de TRS na IRA?;"Refratários: hipercalemia, acidose, sobrecarga volêmica/hipoxemia, uremia/complicações, certas intoxicações; considerar contexto e tendência.";temi::renal
Como tratar hipercalemia grave com alteração eletrocardiográfica?;"Cálcio para estabilizar membrana; insulina+glicose e beta-agonista para shift; tratar causa; remover K com diurese/resinas selecionadas/diálise conforme gravidade.";temi::renal::ecg
Como iniciar resposta sobre morte encefálica?;"Confirmar pré-requisitos, excluir confundidores, seguir protocolo legal/institucional com exames clínicos por médicos habilitados e exame complementar quando exigido; comunicar família com clareza e documentar.";temi::neuro::etica
Qual checklist rápido de prontidão para extubação?;Causa melhorou, hemodinâmica estável, oxigenação/pH aceitáveis, drive, tosse/proteção VA, sedação/delirium controlados, TRE, plano pós-extubação.;temi::vmi::desmame
Qual é o laudo de ECG em 7 linhas?;Ritmo, frequência, eixo, intervalos, sobrecargas/bloqueios, isquemia/mimetizadores, diagnóstico+conduta no contexto.;temi::ecg
Como diferenciar pressão de pico alta por resistência vs complacência?;"Pico alto com platô normal sugere resistência/fluxo/tubo/broncoespasmo; pico e platô altos sugerem baixa complacência/ARDS/edema/pneumotórax/abdome.";temi::vmi
Qual é a lógica do POCUS em choque pelo mnemônico BOMB?;Bomba cardíaca, Obstrução, Missing volume/hipovolemia, Back pressure/congestão.;temi::pocus::choque
O que é VExUS?;Avaliação ultrassonográfica de congestão venosa integrando veia cava e Doppler venoso hepático, portal e renal, usada como apoio na avaliação de congestão/risco renal.;temi::pocus::hemodinamica
Quais são os pilares da primeira hora da sepse?;Reconhecimento, lactato/perfusão, culturas sem atrasar ATB, antimicrobiano precoce quando alta probabilidade/choque, fluidos selecionados, vasopressor se necessário, controle de fonte e reavaliação.;temi::sepse
Como abordar delirium na UTI?;Procurar causas, analgesia adequada, reduzir sedação, reorientação, sono, mobilização, óculos/aparelho auditivo, família, evitar benzodiazepínico salvo indicações, tratar dor/hipoxemia/infecção/metabólico.;temi::delirium
Qual é a pergunta clínica antes de usar POCUS?;Qual dúvida o exame vai responder e como o resultado mudará conduta imediata?;temi::pocus
Qual é o erro comum em prova teórica de paciente instável?;Pedir exames ou condutas definitivas antes de estabilização inicial/ABCDE e intervenções tempo-dependentes.;temi::prova
Como estudar questão errada?;Identificar pista, alternativa sedutora, erro cognitivo, regra de ouro, criar flashcard e refazer questão semelhante em D7.;temi::metodo
Qual meta prática de OSCE na reta final?;Treinar respostas de 90–150 segundos, 50 estações completas, nota média própria ≥4,2/5 e refazer piores estações.;temi::osce
Como manter estudo em plantão pelo método 5-8-5-2?;5 flashcards, 8 min de tema vital, 5 questões curtas, 2 min de OSCE falado.;temi::tdah::plantao
OSCE: como estruturar resposta para Choque séptico?;Cenário: Paciente com hipotensão, febre e lactato elevado. Conduza a primeira hora. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::choque_s_ptico
OSCE: como estruturar resposta para Choque indiferenciado?;Cenário: Paciente crítico hipotenso sem diagnóstico definido. Estruture abordagem. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::choque_indiferenciado
OSCE: como estruturar resposta para ARDS grave?;Cenário: Paciente ventilado com PaO2/FiO2 baixo apesar de suporte. Ajuste ventilação e resgate. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::ards_grave
OSCE: como estruturar resposta para Hipoxemia súbita no ventilador?;Cenário: Paciente intubado dessatura rapidamente durante plantão. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::hipoxemia_s_bita_no_ventilador
OSCE: como estruturar resposta para Asma grave ventilada?;Cenário: Paciente em ventilação invasiva com hiperinsuflação e acidose. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::asma_grave_ventilada
OSCE: como estruturar resposta para DPOC exacerbado ventilado?;Cenário: Paciente hipercápnico com auto-PEEP e assincronia. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::dpoc_exacerbado_ventilado
OSCE: como estruturar resposta para Desmame difícil?;Cenário: Paciente falha em teste de respiração espontânea. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::desmame_dif_cil
OSCE: como estruturar resposta para Extubação planejada?;Cenário: Avalie prontidão e plano pós-extubação. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::extuba_o_planejada
OSCE: como estruturar resposta para Taquicardia instável?;Cenário: Paciente com QRS largo, hipotenso e dor torácica. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::taquicardia_inst_vel
OSCE: como estruturar resposta para Bradicardia instável?;Cenário: Paciente com bloqueio AV e sinais de choque. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::bradicardia_inst_vel
OSCE: como estruturar resposta para PCR em ritmo chocável?;Cenário: Conduza atendimento inicial e pós-ROSC. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::pcr_em_ritmo_choc_vel
OSCE: como estruturar resposta para Pós-PCR?;Cenário: Paciente retorna circulação espontânea. Organize cuidados pós-parada. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::p_s_pcr
OSCE: como estruturar resposta para SCA com choque?;Cenário: Paciente com IAM e choque cardiogênico. Responder com: gravidade → ABCDE → ações imediatas → hipóteses → exames sem atrasar terapia → tratamento específico → metas de reavaliação → comunicação/equipe.;temi::osce::sca_com_choque
